#Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz
,,658730509,Port:1,0,1746668441,818794080,Enabled,0.416077,0.638851,-0.473358,0.441227,27.58,70.2773,-1561.34,0.199755,4,OK,-138.214,72.3855,-1524.82,OK,-158.969,27.3221,-1532.13,OK,-123.264,-11.0674,-1548.04,OK,-88.3595,42.8531,-1540.32,,658730509,Port:2,0,1746668441,818794080,Enabled,0.942617,0.0497347,0.0451201,0.327053,-120.064,-87.3073,-1380.95,0.171733,3,OK,-119.866,-87.4315,-1380.98,OK,-163.637,-113.808,-1377.5,OK,-158.891,-37.9022,-1373.14,,658730509,Port:65535,0,1746668441,818794080,Missing,,,,,,,,,1,UnrecognizedEnumValue,-483.156,-548.966,-1786.43
,,658730512,Port:1,0,1746668441,868794080,Enabled,0.415671,0.638745,-0.473834,0.441252,27.6264,70.2764,-1561.15,0.183793,4,OK,-138.188,72.4072,-1524.75,OK,-158.965,27.3545,-1532.17,OK,-123.257,-11.0315,-1548.03,OK,-88.3496,42.8802,-1540.27,,658730512,Port:2,0,1746668441,868794080,Enabled,0.942596,0.0498836,0.0452346,0.327077,-120.062,-87.3018,-1380.96,0.173198,3,OK,-119.862,-87.4278,-1380.99,OK,-163.632,-113.806,-1377.5,OK,-158.891,-37.8987,-1373.12,,658730512,Port:65535,0,1746668441,868794080,Missing,,,,,,,,,1,UnrecognizedEnumValue,-483.135,-548.947,-1786.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz
,,658730965,Port:1,0,1746668449,418794084,Enabled,0.431678,0.627566,-0.480072,0.43514,24.7186,63.6807,-1541.64,0.190751,4,OK,-140.596,72.7353,-1504.04,OK,-163.106,28.3868,-1510.44,OK,-129.017,-11.5955,-1525.87,OK,-92.0236,41.081,-1519.37,,658730965,Port:2,0,1746668449,418794084,Enabled,0.942607,0.0497661,0.0454051,0.327038,-120.068,-87.3016,-1380.95,0.171629,3,OK,-119.874,-87.4298,-1380.99,OK,-163.634,-113.798,-1377.48,OK,-158.892,-37.895,-1373.13,,658730965,Port:65535,0,1746668449,418794084,Missing,,,,,,,,,1,UnrecognizedEnumValue,-483.13,-548.953,-1786.4
,,658730968,Port:1,0,1746668449,468794084,Enabled,0.431622,0.627947,-0.480043,0.434676,24.7106,63.6862,-1541.77,0.197431,4,OK,-140.58,72.7131,-1504.03,OK,-163.088,28.3608,-1510.41,OK,-129.003,-11.6202,-1525.94,OK,-92.0015,41.057,-1519.4,,658730968,Port:2,0,1746668449,468794084,Enabled,0.9426,0.0497939,0.0453655,0.327059,-120.066,-87.3018,-1380.97,0.173009,3,OK,-119.868,-87.4295,-1381,OK,-163.634,-113.803,-1377.5,OK,-158.893,-37.8957,-1373.14,,658730968,Port:65535,0,1746668449,468794084,Missing,,,,,,,,,1,UnrecognizedEnumValue,-483.155,-548.961,-1786.42
,,658730971,Port:1,0,1746668449,518794084,Enabled,0.432116,0.627954,-0.479561,0.434708,24.6785,63.6875,-1541.93,0.204441,4,OK,-140.58,72.7052,-1504.07,OK,-163.087,28.3552,-1510.37,OK,-129.004,-11.6122,-1525.89,OK,-92.0133,41.0513,-1519.44,,658730971,Port:2,0,1746668449,518794084,Enabled,0.942617,0.0495537,0.0451276,0.327081,-120.067,-87.2991,-1380.94,0.174111,3,OK,-119.868,-87.427,-1380.97,OK,-163.636,-113.797,-1377.49,OK,-158.901,-37.8947,-1373.15,,658730971,Port:65535,0,1746668449,518794084,Missing,,,,,,,,,1,UnrecognizedEnumValue,-483.187,-548.991,-1786.54
,,658730974,Port:1,0,1746668449,568794084,Enabled,0.431472,0.627561,-0.480311,0.435087,24.7428,63.6468,-1541.57,0.212056,4,OK,-140.578,72.7159,-1504.06,OK,-163.091,28.3619,-1510.42,OK,-129.015,-11.6116,-1525.92,OK,-92.0181,41.0583,-1519.33,,658730974,Port:2,0,1746668449,568794084,Enabled,0.942605,0.049595,0.0454599,0.327061,-120.067,-87.3014,-1380.97,0.172505,3,OK,-119.87,-87.4282,-1381,OK,-163.635,-113.802,-1377.48,OK,-158.895,-37.8938,-1373.16,,658730974,Port:65535,0,1746668449,568794084,Missing,,,,,,,,,1,UnrecognizedEnumValue,-483.183,-549,-1786.53
,,658730977,Port:1,0,1746668449,618794084,Enabled,0.431825,0.628073,-0.479857,0.434499,24.6823,63.6949,-1541.88,0.196235,4,OK,-140.579,72.7167,-1504.02,OK,-163.091,28.3709,-1510.4,OK,-129.015,-11.6043,-1525.93,OK,-92.0242,41.0613,-1519.44,,658730977,Port:2,0,1746668449,618794084,Enabled,0.942592,0.0498726,0.0453338,0.327075,-120.067,-87.2985,-1380.95,0.173527,3,OK,-119.869,-87.4277,-1380.99,OK,-163.634,-113.806,-1377.48,OK,-158.896,-37.8889,-1373.12,,658730977,Port:65535,0,1746668449,618794084,Missing,,,,,,,,,1,UnrecognizedEnumValue,-483.196,-549.006,-1786.56
,,658730980,Port:1,0,1746668449,668794084,Enabled,0.431715,0.627826,-0.480037,0.434766,24.7007,63.6694,-1541.74,0.199203,4,OK,-140.585,72.7206,-1504.03,OK,-163.106,28.3693,-1510.4,OK,-129.024,-11.6044,-1525.91,OK,-92.0244,41.0615,-1519.39,,658730980,Port:2,0,1746668449,668794084,Enabled,0.942596,0.0497991,0.0455601,0.327044,-120.067,-87.3021,-1380.96,0.173026,3,OK,-119.867,-87.4278,-1380.99,OK,-163.636,-113.805,-1377.46,OK,-158.891,-37.8936,-1373.12,,658730980,Port:65535,0,1746668449,668794084,Missing,,,,,,,,,1,UnrecognizedEnumValue,-483.102,-548.922,-1786.23
