#Tools
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,22390,Port:10,0,0,0,Enabled,0.577344,-0.657793,-0.179953,0.448999,-14.8572,-72.9445,-88.0805,0.0621997,0
,,22406,Port:10,0,0,0,Enabled,0.576772,-0.65871,-0.180094,0.448332,-15.1163,-72.6684,-88.2206,0.060045,0
,,22422,Port:10,0,0,0,Enabled,0.576387,-0.659043,-0.180161,0.44831,-15.4562,-72.4577,-88.2482,0.0603154,0
,,22438,Port:10,0,0,0,Enabled,0.575919,-0.659477,-0.180894,0.447979,-15.8428,-72.2836,-88.189,0.0572568,0

,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,23326,Port:10,0,0,0,Enabled,0.606726,-0.658427,-0.151237,0.41891,-79.3573,53.1919,-72.0702,0.0513167,0
,,23334,Port:10,0,0,0,Enabled,0.606686,-0.658588,-0.151039,0.418786,-79.2682,53.1238,-72.068,0.0507217,0
,,23350,Port:10,0,0,0,Enabled,0.606938,-0.658451,-0.150845,0.418706,-79.1561,52.7098,-72.1091,0.053877,0
,,23366,Port:10,0,0,0,Enabled,0.607038,-0.657223,-0.152487,0.419893,-79.1257,51.6986,-72.047,0.0542859,0
,,23382,Port:10,0,0,0,Enabled,0.607256,-0.657724,-0.151509,0.419147,-78.7948,51.3655,-72.1312,0.0584676,0
,,23398,Port:10,0,0,0,Enabled,0.607457,-0.657588,-0.151378,0.419117,-78.3741,51.0096,-72.0716,0.0577842,0
,,23414,Port:10,0,0,0,Enabled,0.607567,-0.657539,-0.151263,0.419075,-78.003,50.6672,-71.9601,0.0627248,0
,,23430,Port:10,0,0,0,Enabled,0.607648,-0.657266,-0.151784,0.419197,-77.8883,50.3395,-71.8454,0.0634855,0
,,23446,Port:10,0,0,0,Enabled,0.607353,-0.657498,-0.15233,0.419064,-77.9794,50.1195,-71.8808,0.0652168,0
,,23462,Port:10,0,0,0,Enabled,0.608174,-0.656939,-0.152239,0.418783,-77.7485,49.9429,-71.7125,0.0638003,0

,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,24230,Port:10,0,0,0,Enabled,0.634427,-0.645427,-0.196512,0.37724,9.78016,63.2582,-91.484,0.046721,0
,,24238,Port:10,0,0,0,Enabled,0.634396,-0.645239,-0.197255,0.377223,9.41561,63.0264,-91.3921,0.0458276,0
,,24246,Port:10,0,0,0,Enabled,0.634446,-0.644942,-0.198384,0.377056,9.04017,62.8348,-91.2762,0.0448599,0
,,24262,Port:10,0,0,0,Enabled,0.63421,-0.644615,-0.199678,0.377329,8.40027,62.6904,-90.9648,0.0458323,0
,,24278,Port:10,0,0,0,Enabled,0.634022,-0.644514,-0.200237,0.377522,7.84966,62.7696,-90.6019,0.0469969,0
,,24294,Port:10,0,0,0,Enabled,0.633035,-0.644794,-0.201944,0.377792,7.08943,62.8391,-90.4236,0.0473184,0
,,24310,Port:10,0,0,0,Enabled,0.632582,-0.64458,-0.203879,0.377875,6.39639,62.8263,-90.1884,0.0486482,0
,,24326,Port:10,0,0,0,Enabled,0.632311,-0.644431,-0.204822,0.378073,5.79228,62.6971,-89.98,0.0492206,0
,,24342,Port:10,0,0,0,Enabled,0.631685,-0.64399,-0.207915,0.378183,5.18723,62.2917,-89.9737,0.0479152,0
,,24358,Port:10,0,0,0,Enabled,0.631241,-0.644383,-0.207484,0.378492,5.0595,62.233,-89.9807,0.0490966,0

,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,25190,Port:10,0,0,0,Enabled,0.477155,-0.702158,-0.473315,0.235095,-51.2887,-13.8713,-112.855,0.0837814,0
,,25198,Port:10,0,0,0,Enabled,0.47754,-0.701551,-0.474115,0.234518,-51.3034,-14.134,-112.778,0.0859021,0
,,25206,Port:10,0,0,0,Enabled,0.478048,-0.70139,-0.474074,0.234041,-51.3034,-14.2775,-112.663,0.0868478,0
,,25222,Port:10,0,0,0,Enabled,0.478596,-0.700813,-0.474418,0.233951,-51.3463,-14.4671,-112.558,0.0880968,0
,,25238,Port:10,0,0,0,Enabled,0.478111,-0.701734,-0.473548,0.233947,-51.4416,-14.2481,-112.682,0.0857788,0
,,25254,Port:10,0,0,0,Enabled,0.478802,-0.702389,-0.471979,0.233737,-51.4947,-13.9431,-112.54,0.0849676,0
,,25270,Port:10,0,0,0,Enabled,0.479572,-0.701381,-0.472971,0.233182,-51.5992,-13.9821,-112.527,0.0870724,0
,,25286,Port:10,0,0,0,Enabled,0.479809,-0.701426,-0.472952,0.232597,-51.6994,-13.9471,-112.609,0.086464,0
,,25302,Port:10,0,0,0,Enabled,0.479602,-0.701842,-0.47258,0.232527,-51.7433,-13.972,-112.821,0.0871581,0
,,25318,Port:10,0,0,0,Enabled,0.479399,-0.702202,-0.472152,0.232729,-51.732,-14.0173,-113.048,0.0871274,0

,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,26534,Port:10,0,0,0,Enabled,0.482954,-0.125841,-0.226338,0.836475,-62.1852,-63.9084,-49.8541,0.0555817,0
,,26550,Port:10,0,0,0,Enabled,0.482019,-0.127147,-0.227251,0.836569,-62.474,-64.1323,-49.8373,0.0609661,0
,,26558,Port:10,0,0,0,Enabled,0.480041,-0.128434,-0.22768,0.837393,-62.3189,-64.5266,-49.9068,0.0437292,0
,,26566,Port:10,0,0,0,Enabled,0.481605,-0.126871,-0.229882,0.836131,-62.3432,-64.8752,-50.2118,0.0538801,0
,,26582,Port:10,0,0,0,Enabled,0.48129,-0.127798,-0.229019,0.836408,-61.9506,-65.1323,-50.2111,0.0516501,0
,,26598,Port:10,0,0,0,Enabled,0.481776,-0.128525,-0.227735,0.836367,-61.8655,-65.1077,-50.1131,0.0629136,0
,,26614,Port:10,0,0,0,Enabled,0.481137,-0.12931,-0.227707,0.836621,-61.7655,-65.6384,-50.0006,0.0636209,0
,,26630,Port:10,0,0,0,Enabled,0.48235,-0.130388,-0.228318,0.835589,-62.1513,-65.8863,-49.8879,0.0568594,0
,,26646,Port:10,0,0,0,Enabled,0.481755,-0.130777,-0.22841,0.835846,-62.0486,-66.0611,-49.5538,0.0483455,0
,,26662,Port:10,0,0,0,Enabled,0.481864,-0.130852,-0.2269,0.836183,-61.9855,-65.8131,-49.1959,0.0544668,0

,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,27430,Port:10,0,0,0,Enabled,0.460835,0.0378345,-0.138748,0.875756,3.11708,-25.592,-59.6537,0.0373694,0
,,27438,Port:10,0,0,0,Enabled,0.460839,0.0375838,-0.138706,0.875771,3.02063,-25.4812,-59.68,0.0376144,0
,,27446,Port:10,0,0,0,Enabled,0.460875,0.0375873,-0.138723,0.875749,2.98412,-25.384,-59.7528,0.0382031,0
,,27462,Port:10,0,0,0,Enabled,0.460782,0.0380736,-0.138398,0.875829,2.98916,-25.2705,-59.796,0.0374061,0
,,27478,Port:10,0,0,0,Enabled,0.460344,0.0374826,-0.138536,0.876063,2.70177,-25.0076,-59.7162,0.0377884,0
,,27494,Port:10,0,0,0,Enabled,0.460197,0.0373912,-0.138005,0.876228,2.57406,-24.8995,-59.6499,0.0374173,0
,,27518,Port:10,0,0,0,Enabled,0.460125,0.0367287,-0.137625,0.876353,2.50392,-24.5656,-59.3838,0.0379022,0
,,27526,Port:10,0,0,0,Enabled,0.460246,0.0374574,-0.137661,0.876254,2.50286,-24.5108,-59.296,0.0373278,0
,,27542,Port:10,0,0,0,Enabled,0.459062,0.0353666,-0.137227,0.877029,2.19276,-24.2193,-58.8453,0.0382492,0
,,27558,Port:10,0,0,0,Enabled,0.460278,0.0355657,-0.136929,0.87643,1.97127,-24.3403,-58.6026,0.0373213,0

,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,29894,Port:10,0,0,0,Enabled,0.518973,0.325207,0.174148,0.771091,45.6078,49.0094,-74.2755,0.0455414,0
,,29902,Port:10,0,0,0,Enabled,0.519232,0.325893,0.174403,0.770568,45.6855,49.0052,-74.4375,0.0462237,0
,,29918,Port:10,0,0,0,Enabled,0.519009,0.326214,0.174983,0.770451,45.9807,49.2133,-74.6835,0.0455464,0
,,29934,Port:10,0,0,0,Enabled,0.519762,0.325609,0.175428,0.770098,46.0531,49.3431,-74.7254,0.0464627,0
,,29942,Port:10,0,0,0,Enabled,0.519513,0.325906,0.175537,0.770116,46.2128,49.4292,-74.8347,0.045786,0
,,29958,Port:10,0,0,0,Enabled,0.519796,0.326156,0.175467,0.769835,46.1563,49.4442,-74.8213,0.0461491,0
,,29982,Port:10,0,0,0,Enabled,0.520727,0.325655,0.175999,0.769296,46.3325,49.3469,-74.8187,0.0455114,0
,,29998,Port:10,0,0,0,Enabled,0.521822,0.325512,0.17652,0.768495,46.257,49.2895,-74.6236,0.0454966,0
,,30006,Port:10,0,0,0,Enabled,0.520787,0.32544,0.176149,0.769312,46.213,49.2671,-74.4866,0.0454652,0
,,30022,Port:10,0,0,0,Enabled,0.521917,0.3255,0.17588,0.768582,46.1754,49.0387,-74.3114,0.0457269,0

,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,32998,Port:10,0,0,0,Enabled,0.622481,-0.15097,0.0398738,0.7669,-9.53482,-46.8525,-44.3773,0.04387,0
,,33006,Port:10,0,0,0,Enabled,0.622646,-0.151319,0.0399726,0.766692,-9.66181,-46.7477,-44.2583,0.0445415,0
,,33022,Port:10,0,0,0,Enabled,0.622993,-0.151095,0.0397426,0.766466,-9.89447,-46.5892,-44.0419,0.0448644,0
,,33038,Port:10,0,0,0,Enabled,0.623409,-0.150601,0.0395695,0.766234,-9.95303,-46.5826,-43.9196,0.0448731,0
,,33054,Port:10,0,0,0,Enabled,0.62167,-0.151507,0.0399213,0.767449,-9.5483,-46.8486,-43.8301,0.043268,0
,,33070,Port:10,0,0,0,Enabled,0.623222,-0.149801,0.0399049,0.766526,-9.5063,-46.8749,-43.9714,0.0448126,0
,,33086,Port:10,0,0,0,Enabled,0.621652,-0.150736,0.0399991,0.767612,-9.10008,-47.1738,-43.9766,0.0428384,0
,,33102,Port:10,0,0,0,Enabled,0.622453,-0.150121,0.0397364,0.767097,-9.20605,-47.0981,-44.0601,0.0433047,0
,,33118,Port:10,0,0,0,Enabled,0.622799,-0.150356,0.0396528,0.766774,-9.41946,-47.1098,-44.1082,0.0437697,0
,,33134,Port:10,0,0,0,Enabled,0.621877,-0.151012,0.0392002,0.767416,-9.84933,-47.0018,-44.0284,0.0435532,0

,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,37182,Port:10,0,0,0,Enabled,0.384157,-0.650523,-0.633712,0.16629,-64.2188,10.1153,-142.099,0.120188,0
,,37190,Port:10,0,0,0,Enabled,0.383921,-0.651254,-0.633091,0.166336,-64.2522,10.2098,-142.245,0.119029,0
,,37198,Port:10,0,0,0,Enabled,0.383641,-0.650972,-0.63358,0.166224,-64.3074,10.3014,-142.487,0.119768,0
,,37214,Port:10,0,0,0,Enabled,0.383486,-0.650108,-0.634564,0.166213,-64.3759,10.3677,-142.822,0.120454,0
,,37230,Port:10,0,0,0,Enabled,0.383149,-0.650094,-0.634921,0.16568,-64.3451,10.2942,-142.982,0.122744,0
,,37246,Port:10,0,0,0,Enabled,0.383683,-0.64899,-0.635573,0.166272,-64.4972,10.0382,-143.016,0.120917,0
,,37262,Port:10,0,0,0,Enabled,0.383594,-0.649058,-0.63583,0.165222,-64.5316,9.95216,-143.038,0.122582,0
,,37278,Port:10,0,0,0,Enabled,0.383966,-0.648908,-0.635626,0.165735,-64.6235,9.61176,-142.994,0.119922,0
,,37294,Port:10,0,0,0,Enabled,0.38366,-0.649071,-0.635725,0.165423,-63.9003,9.73598,-142.823,0.12662,0
,,37310,Port:10,0,0,0,Enabled,0.383997,-0.648344,-0.636361,0.165048,-63.9131,9.52912,-142.806,0.123959,0

,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,39382,Port:10,0,0,0,Enabled,0.124341,-0.86326,-0.399118,0.282889,-42.8536,39.0265,-144.882,0.137015,0
,,39398,Port:10,0,0,0,Enabled,0.125613,-0.861536,-0.402102,0.283356,-43.4068,39.0546,-144.978,0.162115,0
,,39406,Port:10,0,0,0,Enabled,0.1254,-0.861659,-0.401784,0.283529,-43.3455,39.041,-144.952,0.161845,0
,,39430,Port:10,0,0,0,Enabled,0.124666,-0.86312,-0.398893,0.283491,-42.4282,39.0932,-144.751,0.134474,0
,,39438,Port:10,0,0,0,Enabled,0.124949,-0.862259,-0.400598,0.283582,-43.0514,39.0898,-144.895,0.160793,0
,,39454,Port:10,0,0,0,Enabled,0.125329,-0.862004,-0.400921,0.283734,-42.9214,39.1148,-144.865,0.162784,0
,,39470,Port:10,0,0,0,Enabled,0.124803,-0.862535,-0.399603,0.284212,-41.8264,39.0265,-144.664,0.132491,0
,,39486,Port:10,0,0,0,Enabled,0.12547,-0.862516,-0.39932,0.284373,-42.0828,39.2636,-144.877,0.132827,0
,,39502,Port:10,0,0,0,Enabled,0.12471,-0.862982,-0.398585,0.284324,-41.9823,39.3381,-145.194,0.134033,0
