#Tools
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,649724050,Port:1,0,1746518334,168810286,Enabled,0.474813,0.552215,-0.503818,0.46452,-4.00102,30.3832,-1480.1,0.196552,4,OK,-169.393,62.1655,-1458.65,OK,-196.491,20.1214,-1461.56,OK,-166.313,-25.0205,-1468.96,OK,-123.94,23.6905,-1465.66,,649724050,Port:2,0,1746518334,168810286,Enabled,0.949596,0.0597963,0.0122298,0.307477,-114.006,-121.603,-1303.26,0.172569,3,OK,-113.792,-121.714,-1303.28,OK,-158.867,-146.178,-1303.17,OK,-150.956,-70.7569,-1295.59,,649724050,Port:65535,0,1746518334,168810286,Missing,,,,,,,,,0
,,649724053,Port:1,0,1746518334,218810287,Enabled,0.475083,0.551952,-0.503396,0.465014,-3.73607,30.7554,-1479.94,0.203596,4,OK,-169.149,62.5076,-1458.57,OK,-196.222,20.4311,-1461.4,OK,-166.032,-24.6974,-1468.75,OK,-123.665,24.0305,-1465.49,,649724053,Port:2,0,1746518334,218810287,Enabled,0.949588,0.0600293,0.012435,0.307447,-114.006,-121.608,-1303.26,0.175916,3,OK,-113.788,-121.722,-1303.29,OK,-158.869,-146.181,-1303.16,OK,-150.952,-70.7606,-1295.56,,649724053,Port:65535,0,1746518334,218810287,Missing,,,,,,,,,0

,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,649724278,Port:1,0,1746518337,968810289,Enabled,0.28199,0.546335,-0.53884,0.575891,88.3381,75.9117,-1458.13,0.165464,4,OK,-77.146,67.9305,-1495.54,OK,-89.8252,22.2724,-1511.5,OK,-48.514,-13.6713,-1511.12,OK,-23.5649,41.7165,-1488.72,,649724278,Port:2,0,1746518337,968810289,Enabled,0.949597,0.059688,0.0121681,0.307499,-114.005,-121.605,-1303.25,0.173504,3,OK,-113.789,-121.716,-1303.28,OK,-158.866,-146.182,-1303.17,OK,-150.958,-70.757,-1295.6,,649724278,Port:65535,0,1746518337,968810289,Missing,,,,,,,,,0
,,649724281,Port:1,0,1746518338,18810289,Enabled,0.282065,0.545662,-0.539306,0.576056,87.9012,75.4859,-1458.42,0.168473,4,OK,-77.5542,67.7083,-1496.03,OK,-90.2571,22.057,-1511.98,OK,-49.0089,-13.9428,-1511.57,OK,-24.0058,41.4318,-1489.14,,649724281,Port:2,0,1746518338,18810289,Enabled,0.949585,0.0598481,0.0123533,0.307495,-114.007,-121.605,-1303.25,0.174098,3,OK,-113.789,-121.712,-1303.28,OK,-158.872,-146.179,-1303.16,OK,-150.958,-70.7664,-1295.58,,649724281,Port:65535,0,1746518338,18810289,Missing,,,,,,,,,0
,,649724284,Port:1,0,1746518338,68810289,Enabled,0.281645,0.544993,-0.540327,0.57594,87.3347,74.9512,-1458.84,0.160724,4,OK,-78.0642,67.4525,-1496.72,OK,-90.8218,21.8504,-1512.79,OK,-49.6085,-14.2016,-1512.33,OK,-24.5648,41.0964,-1489.8,,649724284,Port:2,0,1746518338,68810289,Enabled,0.949608,0.0597148,0.0120157,0.307465,-114.006,-121.604,-1303.23,0.172247,3,OK,-113.79,-121.71,-1303.26,OK,-158.873,-146.179,-1303.17,OK,-150.955,-70.7565,-1295.59,,649724284,Port:65535,0,1746518338,68810289,Missing,,,,,,,,,0
,,649724287,Port:1,0,1746518338,118810289,Enabled,0.281373,0.545113,-0.541512,0.574844,86.7393,74.3548,-1459.43,0.162489,4,OK,-78.6805,67.2143,-1497.27,OK,-91.5177,21.6693,-1513.47,OK,-50.3487,-14.4367,-1513.12,OK,-25.2279,40.7485,-1490.45,,649724287,Port:2,0,1746518338,118810289,Enabled,0.949602,0.0597189,0.0119998,0.307484,-114.009,-121.606,-1303.25,0.171626,3,OK,-113.794,-121.712,-1303.27,OK,-158.874,-146.179,-1303.18,OK,-150.96,-70.7634,-1295.6,,649724287,Port:65535,0,1746518338,118810289,Missing,,,,,,,,,0
,,649724290,Port:1,0,1746518338,168810289,Enabled,0.283003,0.544411,-0.541221,0.574983,86.2846,73.9128,-1460.11,0.163197,4,OK,-79.2038,67.0376,-1497.78,OK,-92.1336,21.4938,-1513.83,OK,-51.0592,-14.7197,-1513.44,OK,-25.7749,40.4751,-1490.92,,649724290,Port:2,0,1746518338,168810289,Enabled,0.949598,0.0596591,0.0123235,0.307495,-114.003,-121.606,-1303.26,0.175463,3,OK,-113.785,-121.716,-1303.28,OK,-158.866,-146.177,-1303.16,OK,-150.956,-70.7639,-1295.61,,649724290,Port:65535,0,1746518338,168810289,Missing,,,,,,,,,0
,,649724293,Port:1,0,1746518338,218810289,Enabled,0.283212,0.544806,-0.541418,0.57432,86.0244,73.64,-1460.68,0.168741,4,OK,-79.5031,66.8767,-1498.14,OK,-92.4775,21.3295,-1514.22,OK,-51.4251,-14.8815,-1513.92,OK,-26.1053,40.2752,-1491.39,,649724293,Port:2,0,1746518338,218810289,Enabled,0.949596,0.0598341,0.0120195,0.307478,-114.006,-121.605,-1303.25,0.173471,3,OK,-113.789,-121.711,-1303.27,OK,-158.874,-146.178,-1303.18,OK,-150.957,-70.7635,-1295.59,,649724293,Port:65535,0,1746518338,218810289,Missing,,,,,,,,,0
