#Tools
ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz
4,,140337034,Port:1,0,1769564550,568785097,Enabled,0.693761,0.508797,-0.340086,0.379688,-27.5866,-10.7302,-1806.71,0.317477,4,OK,-27.3124,-10.8197,-1806.58,OK,-56.0425,-44.8535,-1783.89,OK,-35.1017,-95.6352,-1784.39,OK,7.34935,-58.0691,-1816.48,,140337034,Port:2,0,1769564550,568785097,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140337034,Port:3,0,1769564550,568785097,Enabled,0.919702,-0.00464724,0.0389299,0.390655,-30.7877,104.359,-1686.73,0.116243,3,OK,-30.6522,104.428,-1686.74,OK,-70.5098,72.2359,-1682.76,OK,-76.2508,148.261,-1685.34,,140337034,Port:65535,0,1769564550,568785097,Missing,,,,,,,,,1,OK,42.3275,375.577,-2012
4,,140337040,Port:1,0,1769564550,668785096,Enabled,0.693685,0.509253,-0.340043,0.379253,-27.5854,-10.7195,-1806.69,0.307203,4,OK,-27.3094,-10.8119,-1806.57,OK,-56.0491,-44.8582,-1783.86,OK,-35.0974,-95.6389,-1784.46,OK,7.34996,-58.0603,-1816.54,,140337040,Port:2,0,1769564550,668785096,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140337040,Port:3,0,1769564550,668785096,Enabled,0.919718,-0.00466761,0.0389112,0.390618,-30.7873,104.353,-1686.74,0.121092,3,OK,-30.6443,104.422,-1686.75,OK,-70.5164,72.2319,-1682.78,OK,-76.2504,148.261,-1685.36,,140337040,Port:65535,0,1769564550,668785096,Missing,,,,,,,,,1,OK,42.3276,375.582,-2011.98
4,,140337049,Port:1,0,1769564550,818785098,Enabled,0.693966,0.509361,-0.339636,0.378959,-27.5844,-10.7283,-1806.71,0.333292,4,OK,-27.299,-10.8205,-1806.55,OK,-56.05,-44.8643,-1783.89,OK,-35.0929,-95.6435,-1784.41,OK,7.35808,-58.0673,-1816.64,,140337049,Port:2,0,1769564550,818785098,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140337049,Port:3,0,1769564550,818785098,Enabled,0.919698,-0.00499064,0.0390146,0.390651,-30.7903,104.355,-1686.71,0.119757,3,OK,-30.6502,104.424,-1686.73,OK,-70.5148,72.23,-1682.73,OK,-76.2568,148.262,-1685.37,,140337049,Port:65535,0,1769564550,818785098,Missing,,,,,,,,,1,OK,42.3336,375.59,-2012
4,,140337055,Port:1,0,1769564550,918785098,Enabled,0.693435,0.508837,-0.340506,0.379854,-27.5732,-10.7307,-1806.72,0.300099,4,OK,-27.3035,-10.8244,-1806.62,OK,-56.0445,-44.8606,-1783.91,OK,-35.0901,-95.6451,-1784.49,OK,7.36441,-58.0705,-1816.45,,140337055,Port:2,0,1769564550,918785098,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140337055,Port:3,0,1769564550,918785098,Enabled,0.919689,-0.00462827,0.0390206,0.390676,-30.7891,104.36,-1686.73,0.120687,3,OK,-30.6495,104.433,-1686.74,OK,-70.5132,72.231,-1682.76,OK,-76.2542,148.262,-1685.34,,140337055,Port:65535,0,1769564550,918785098,Missing,,,,,,,,,1,OK,42.3272,375.582,-2011.95
4,,140337061,Port:1,0,1769564551,18785098,Enabled,0.693697,0.508797,-0.340083,0.379809,-27.5905,-10.729,-1806.73,0.317759,4,OK,-27.3142,-10.8185,-1806.6,OK,-56.0416,-44.8588,-1783.91,OK,-35.0851,-95.6321,-1784.42,OK,7.34908,-58.063,-1816.49,,140337061,Port:2,0,1769564551,18785098,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140337061,Port:3,0,1769564551,18785098,Enabled,0.919727,-0.00511457,0.0385446,0.390627,-30.7882,104.362,-1686.7,0.116441,3,OK,-30.6534,104.432,-1686.71,OK,-70.5156,72.2404,-1682.76,OK,-76.251,148.268,-1685.39,,140337061,Port:65535,0,1769564551,18785098,Missing,,,,,,,,,1,OK,42.3332,375.6,-2012.06
4,,140337067,Port:1,0,1769564551,118785099,Enabled,0.693943,0.50908,-0.339727,0.379298,-27.5929,-10.7283,-1806.73,0.307052,4,OK,-27.3124,-10.8174,-1806.62,OK,-56.0446,-44.8558,-1783.85,OK,-35.0918,-95.634,-1784.43,OK,7.34028,-58.0696,-1816.55,,140337067,Port:2,0,1769564551,118785099,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140337067,Port:3,0,1769564551,118785099,Enabled,0.91975,-0.00487291,0.0382274,0.390608,-30.7895,104.358,-1686.7,0.11603,3,OK,-30.6523,104.423,-1686.71,OK,-70.5195,72.2381,-1682.8,OK,-76.2534,148.269,-1685.38,,140337067,Port:65535,0,1769564551,118785099,Missing,,,,,,,,,1,OK,42.3213,375.596,-2011.99
4,,140337073,Port:1,0,1769564551,218785098,Enabled,0.693692,0.509055,-0.340057,0.379494,-27.5896,-10.7204,-1806.69,0.318516,4,OK,-27.3113,-10.8144,-1806.56,OK,-56.0502,-44.8516,-1783.88,OK,-35.0942,-95.6375,-1784.41,OK,7.3486,-58.0539,-1816.51,,140337073,Port:2,0,1769564551,218785098,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140337073,Port:3,0,1769564551,218785098,Enabled,0.919714,-0.00487545,0.0387631,0.39064,-30.792,104.358,-1686.71,0.120135,3,OK,-30.6518,104.428,-1686.73,OK,-70.5198,72.233,-1682.76,OK,-76.2566,148.265,-1685.36,,140337073,Port:65535,0,1769564551,218785098,Missing,,,,,,,,,1,OK,42.3238,375.575,-2011.93
4,,140337082,Port:1,0,1769564551,368785099,Enabled,0.69365,0.509097,-0.34008,0.379493,-27.5886,-10.7179,-1806.68,0.319362,4,OK,-27.3083,-10.8129,-1806.56,OK,-56.0437,-44.8572,-1783.88,OK,-35.0912,-95.6349,-1784.42,OK,7.34499,-58.0467,-1816.5,,140337082,Port:2,0,1769564551,368785099,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140337082,Port:3,0,1769564551,368785099,Enabled,0.919708,-0.0047095,0.0391062,0.390621,-30.7896,104.355,-1686.76,0.117128,3,OK,-30.652,104.423,-1686.77,OK,-70.5136,72.2367,-1682.78,OK,-76.251,148.26,-1685.38,,140337082,Port:65535,0,1769564551,368785099,Missing,,,,,,,,,1,OK,42.329,375.57,-2011.9
4,,140337088,Port:1,0,1769564551,468785098,Enabled,0.693481,0.509225,-0.340286,0.379447,-27.5754,-10.7163,-1806.65,0.28978,4,OK,-27.3128,-10.8155,-1806.56,OK,-56.0331,-44.8525,-1783.83,OK,-35.0833,-95.6391,-1784.48,OK,7.36526,-58.0572,-1816.46,,140337088,Port:2,0,1769564551,468785098,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140337088,Port:3,0,1769564551,468785098,Enabled,0.919718,-0.0049769,0.0390063,0.390605,-30.7871,104.354,-1686.74,0.120066,3,OK,-30.6468,104.423,-1686.75,OK,-70.5144,72.23,-1682.76,OK,-76.2496,148.268,-1685.39,,140337088,Port:65535,0,1769564551,468785098,Missing,,,,,,,,,1,OK,42.3177,375.593,-2011.94
4,,140337094,Port:1,0,1769564551,568785098,Enabled,0.693797,0.508884,-0.339957,0.379622,-27.5859,-10.7298,-1806.72,0.296181,4,OK,-27.3065,-10.8108,-1806.63,OK,-56.047,-44.8526,-1783.84,OK,-35.0796,-95.6421,-1784.44,OK,7.35262,-58.0717,-1816.48,,140337094,Port:2,0,1769564551,568785098,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,140337094,Port:3,0,1769564551,568785098,Enabled,0.91973,-0.00503724,0.0386988,0.390606,-30.7873,104.355,-1686.72,0.117892,3,OK,-30.6499,104.425,-1686.73,OK,-70.5158,72.2347,-1682.76,OK,-76.249,148.265,-1685.39,,140337094,Port:65535,0,1769564551,568785098,Missing,,,,,,,,,1,OK,42.3292,375.574,-2011.86
