#Tools,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,80870,Port:10,0,0,0,Enabled,0.54231,-0.535663,-0.547602,0.345104,19.1053,-35.5115,-93.8462,0.0396712,0
,,80886,Port:10,0,0,0,Enabled,0.542326,-0.535649,-0.547609,0.34509,19.1057,-35.5082,-93.8484,0.039653,0
,,80902,Port:10,0,0,0,Enabled,0.542313,-0.535668,-0.547596,0.3451,19.1068,-35.5113,-93.8466,0.0397432,0
,,80918,Port:10,0,0,0,Enabled,0.54231,-0.535672,-0.547591,0.345107,19.1072,-35.5094,-93.8478,0.0396632,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,82926,Port:10,0,0,0,Enabled,0.546043,-0.512317,-0.560735,0.353476,16.0323,-66.1592,-100.659,0.27454,0
,,82942,Port:10,0,0,0,Enabled,0.546071,-0.512298,-0.560746,0.353444,16.0332,-66.156,-100.659,0.274835,0
,,82950,Port:10,0,0,0,Enabled,0.546053,-0.512315,-0.560748,0.35344,16.0361,-66.1563,-100.66,0.274655,0
,,82966,Port:10,0,0,0,Enabled,0.546083,-0.512283,-0.560754,0.353433,16.0333,-66.1548,-100.664,0.274805,0
,,82982,Port:10,0,0,0,Enabled,0.546078,-0.512292,-0.56075,0.353433,16.0349,-66.155,-100.666,0.274735,0
,,82998,Port:10,0,0,0,Enabled,0.546066,-0.512304,-0.560742,0.353447,16.0358,-66.155,-100.667,0.27442,0
,,83014,Port:10,0,0,0,Enabled,0.546098,-0.512274,-0.560761,0.353411,16.0359,-66.1527,-100.671,0.274879,0
,,83030,Port:10,0,0,0,Enabled,0.54605,-0.512325,-0.560732,0.35346,16.037,-66.1543,-100.668,0.273746,0
,,83046,Port:10,0,0,0,Enabled,0.546038,-0.512344,-0.560721,0.353466,16.0392,-66.1558,-100.665,0.273886,0
,,83062,Port:10,0,0,0,Enabled,0.546062,-0.512309,-0.560744,0.353444,16.0394,-66.1552,-100.668,0.274603,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,91046,Port:10,0,0,0,Enabled,0.643802,-0.106179,-0.267093,0.709159,-86.5724,47.9084,-75.5164,0.0357703,0
,,91054,Port:10,0,0,0,Enabled,0.643771,-0.10619,-0.267092,0.709185,-86.5707,47.9092,-75.5178,0.0358801,0
,,91070,Port:10,0,0,0,Enabled,0.64379,-0.106203,-0.267099,0.709164,-86.5659,47.9138,-75.5247,0.0358473,0
,,91086,Port:10,0,0,0,Enabled,0.643773,-0.106203,-0.267092,0.709182,-86.5646,47.9142,-75.5254,0.0358517,0
,,91102,Port:10,0,0,0,Enabled,0.643765,-0.106224,-0.267092,0.709186,-86.5604,47.917,-75.5303,0.0359344,0
,,91118,Port:10,0,0,0,Enabled,0.643801,-0.106203,-0.267098,0.709155,-86.559,47.9172,-75.5298,0.0357717,0
,,91134,Port:10,0,0,0,Enabled,0.64378,-0.106241,-0.267102,0.709166,-86.5531,47.9207,-75.5331,0.0358484,0
,,91150,Port:10,0,0,0,Enabled,0.643823,-0.106203,-0.26709,0.709137,-86.5556,47.9178,-75.5323,0.0357362,0
