#Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,,,,
,,649708696,Port:1,0,1746518078,268835963,Enabled,0.139947,0.473985,-0.584631,0.643397,68.9697,52.6005,-1387.62,0.198103,4,OK,-73.875,39.1467,-1478.76,OK,-76.3779,-5.06405,-1501.53,OK,-34.6473,-38.5679,-1490.39,OK,-23.1576,15.6227,-1456.39,,649708696,Port:2,0,1746518078,268835963,Enabled,0.949604,0.0597815,0.0120731,0.307462,-114.001,-121.597,-1303.3,0.174688,3,OK,-113.783,-121.706,-1303.32,OK,-158.868,-146.17,-1303.23,OK,-150.951,-70.7503,-1295.64,,649708696,Port:65535,0,1746518078,268835963,Missing,,,,,,,,,0,,,,
,,649708699,Port:1,0,1746518078,318835963,Enabled,0.140233,0.474199,-0.584482,0.643312,69.1012,52.7022,-1387.63,0.178035,4,OK,-73.8095,39.2166,-1478.63,OK,-76.3239,-4.99494,-1501.45,OK,-34.593,-38.4866,-1490.27,OK,-23.082,15.6951,-1456.35,,649708699,Port:2,0,1746518078,318835963,Enabled,0.949585,0.0599135,0.0126518,0.307471,-114.004,-121.59,-1303.32,0.177954,3,OK,-113.785,-121.704,-1303.34,OK,-158.866,-146.158,-1303.19,OK,-150.954,-70.75,-1295.62,,649708699,Port:65535,0,1746518078,318835963,Missing,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,,,,
,,649708864,Port:1,0,1746518081,68835961,Enabled,0.216703,0.472612,-0.621888,0.585604,-8.57626,38.8406,-1404.43,0.219362,4,OK,-162.285,51.5129,-1475.88,OK,-174.465,9.35962,-1499.46,OK,-137.309,-30.4438,-1495.18,OK,-113.384,19.5489,-1461.3,,649708864,Port:2,0,1746518081,68835961,Enabled,0.949614,0.0596336,0.0121909,0.307456,-114,-121.597,-1303.29,0.173629,3,OK,-113.784,-121.705,-1303.32,OK,-158.865,-146.162,-1303.21,OK,-150.948,-70.7565,-1295.65,,649708864,Port:65535,0,1746518081,68835961,Missing,,,,,,,,,0,,,,
,,649708867,Port:1,0,1746518081,118835961,Enabled,0.217754,0.471409,-0.621361,0.586743,-8.39429,38.9924,-1404.26,0.228701,4,OK,-162.023,51.6686,-1475.91,OK,-174.245,9.47406,-1499.33,OK,-137.153,-30.374,-1494.88,OK,-113.179,19.6606,-1461.16,,649708867,Port:2,0,1746518081,118835961,Enabled,0.949584,0.0600785,0.0120109,0.307467,-114,-121.594,-1303.29,0.173989,3,OK,-113.782,-121.703,-1303.31,OK,-158.866,-146.167,-1303.23,OK,-150.949,-70.7533,-1295.6,,649708867,Port:65535,0,1746518081,118835961,Missing,,,,,,,,,0,,,,
,,649708870,Port:1,0,1746518081,168835961,Enabled,0.217678,0.473644,-0.621033,0.585317,-7.8719,39.2043,-1404.5,0.226685,4,OK,-161.805,51.6692,-1475.5,OK,-174.021,9.48448,-1498.97,OK,-136.826,-30.3017,-1494.79,OK,-112.846,19.7731,-1461.01,,649708870,Port:2,0,1746518081,168835961,Enabled,0.949604,0.0598639,0.0122639,0.307439,-114.001,-121.597,-1303.29,0.173056,3,OK,-113.787,-121.708,-1303.32,OK,-158.865,-146.164,-1303.2,OK,-150.947,-70.7518,-1295.62,,649708870,Port:65535,0,1746518081,168835961,Missing,,,,,,,,,0,,,,
,,649708873,Port:1,0,1746518081,218835961,Enabled,0.217841,0.473171,-0.620764,0.585923,-7.57541,39.3552,-1404.62,0.235143,4,OK,-161.45,51.7601,-1475.77,OK,-173.668,9.545,-1499.16,OK,-136.469,-30.2449,-1494.92,OK,-112.5,19.8663,-1461.17,,649708873,Port:2,0,1746518081,218835961,Enabled,0.949592,0.0598014,0.0119943,0.307498,-114.002,-121.592,-1303.28,0.174792,3,OK,-113.783,-121.698,-1303.31,OK,-158.87,-146.164,-1303.22,OK,-150.956,-70.7548,-1295.62,,649708873,Port:65535,0,1746518081,218835961,Missing,,,,,,,,,0,,,,
,,649708876,Port:1,0,1746518081,268835961,Enabled,0.217693,0.472812,-0.621237,0.585767,-7.48845,39.3465,-1404.83,0.234604,4,OK,-161.303,51.92,-1476.08,OK,-173.537,9.73332,-1499.51,OK,-136.382,-30.0777,-1495.27,OK,-112.394,19.9818,-1461.47,,649708876,Port:2,0,1746518081,268835961,Enabled,0.949598,0.0596263,0.0122105,0.307506,-114.004,-121.596,-1303.29,0.174046,3,OK,-113.787,-121.703,-1303.32,OK,-158.867,-146.166,-1303.21,OK,-150.958,-70.7593,-1295.65,,649708876,Port:65535,0,1746518081,268835961,Missing,,,,,,,,,0,,,,
,,649708879,Port:1,0,1746518081,318835961,Enabled,0.217954,0.473468,-0.62117,0.58521,-7.17381,39.3835,-1405.14,0.220178,4,OK,-161.107,51.9571,-1476.1,OK,-173.352,9.78071,-1499.58,OK,-136.193,-30.0405,-1495.4,OK,-112.186,20.0288,-1461.65,,649708879,Port:2,0,1746518081,318835961,Enabled,0.949582,0.0600431,0.0120727,0.30748,-114.002,-121.594,-1303.3,0.174644,3,OK,-113.783,-121.701,-1303.32,OK,-158.869,-146.169,-1303.23,OK,-150.952,-70.7529,-1295.61,,649708879,Port:65535,0,1746518081,318835961,Missing,,,,,,,,,0,,,,
