ToolCount,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz
4,,370805554,Port:1,0,1773405692,568821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805554,Port:2,0,1773405692,568821125,Enabled,0.932339,0.107861,-0.00537035,0.345082,-87.1103,52.7756,-1590.99,0.154009,3,OK,-86.9258,52.855,-1590.98,OK,-129.963,24.7715,-1594.03,OK,-127.88,99.4454,-1578.51,,370805554,Port:3,0,1773405692,568821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805554,Port:65535,0,1773405692,568821125,Missing,,,,,,,,,1,OK,-67.5662,402.543,-2476.59
4,,370805557,Port:1,0,1773405692,618821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805557,Port:2,0,1773405692,618821125,Enabled,0.932343,0.107977,-0.00563822,0.345029,-87.1094,52.777,-1591.01,0.158092,3,OK,-86.918,52.8534,-1591,OK,-129.968,24.7755,-1594.08,OK,-127.881,99.4568,-1578.52,,370805557,Port:3,0,1773405692,618821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805557,Port:65535,0,1773405692,618821125,Missing,,,,,,,,,1,OK,-67.583,402.534,-2476.54
4,,370805560,Port:1,0,1773405692,668821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805560,Port:2,0,1773405692,668821125,Enabled,0.932326,0.10798,-0.00532824,0.34508,-87.1139,52.7816,-1591.02,0.15666,3,OK,-86.9254,52.8611,-1591.01,OK,-129.969,24.7767,-1594.06,OK,-127.884,99.4492,-1578.52,,370805560,Port:3,0,1773405692,668821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805560,Port:65535,0,1773405692,668821125,Missing,,,,,,,,,1,OK,-67.5791,402.509,-2476.46
4,,370805563,Port:1,0,1773405692,718821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805563,Port:2,0,1773405692,718821125,Enabled,0.932345,0.107841,-0.00528217,0.345074,-87.1081,52.7793,-1591.01,0.152657,3,OK,-86.9253,52.8574,-1591,OK,-129.96,24.7736,-1594.04,OK,-127.876,99.4531,-1578.53,,370805563,Port:3,0,1773405692,718821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805563,Port:65535,0,1773405692,718821125,Missing,,,,,,,,,1,OK,-67.5544,402.558,-2476.58
4,,370805566,Port:1,0,1773405692,768821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805566,Port:2,0,1773405692,768821125,Enabled,0.932348,0.107892,-0.005527,0.345045,-87.1082,52.7761,-1591,0.15894,3,OK,-86.9187,52.8594,-1591,OK,-129.969,24.7745,-1594.06,OK,-127.876,99.447,-1578.53,,370805566,Port:3,0,1773405692,768821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805566,Port:65535,0,1773405692,768821125,Missing,,,,,,,,,1,OK,-67.5666,402.557,-2476.62
4,,370805569,Port:1,0,1773405692,818821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805569,Port:2,0,1773405692,818821125,Enabled,0.932367,0.107621,-0.0058662,0.345072,-87.1097,52.7737,-1590.95,0.158458,3,OK,-86.9228,52.8592,-1590.94,OK,-129.968,24.7706,-1594.04,OK,-127.884,99.4498,-1578.52,,370805569,Port:3,0,1773405692,818821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805569,Port:65535,0,1773405692,818821125,Missing,,,,,,,,,1,OK,-67.5422,402.608,-2477.02
4,,370805572,Port:1,0,1773405692,868821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805572,Port:2,0,1773405692,868821125,Enabled,0.932346,0.107849,-0.00581612,0.345058,-87.1105,52.7782,-1591,0.1589,3,OK,-86.9235,52.8638,-1591,OK,-129.97,24.7737,-1594.09,OK,-127.881,99.4517,-1578.55,,370805572,Port:3,0,1773405692,868821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805572,Port:65535,0,1773405692,868821125,Missing,,,,,,,,,1,OK,-67.5682,402.54,-2476.71
4,,370805575,Port:1,0,1773405692,918821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805575,Port:2,0,1773405692,918821125,Enabled,0.932345,0.107893,-0.00563598,0.345052,-87.1089,52.7761,-1590.98,0.155582,3,OK,-86.9231,52.8564,-1590.97,OK,-129.965,24.7744,-1594.05,OK,-127.879,99.4502,-1578.51,,370805575,Port:3,0,1773405692,918821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805575,Port:65535,0,1773405692,918821125,Missing,,,,,,,,,1,OK,-67.5605,402.563,-2476.62
4,,370805578,Port:1,0,1773405692,968821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805578,Port:2,0,1773405692,968821125,Enabled,0.932317,0.108175,-0.00565054,0.345037,-87.1077,52.779,-1591.01,0.157515,3,OK,-86.9207,52.86,-1591,OK,-129.966,24.7733,-1594.09,OK,-127.875,99.4522,-1578.5,,370805578,Port:3,0,1773405692,968821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805578,Port:65535,0,1773405692,968821125,Missing,,,,,,,,,1,OK,-67.6604,402.59,-2477.04
4,,370805581,Port:1,0,1773405693,18821126,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805581,Port:2,0,1773405693,18821126,Enabled,0.932337,0.107744,-0.00531873,0.345123,-87.1076,52.7833,-1591,0.157987,3,OK,-86.919,52.8656,-1590.99,OK,-129.962,24.772,-1594.04,OK,-127.882,99.4525,-1578.53,,370805581,Port:3,0,1773405693,18821126,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805581,Port:65535,0,1773405693,18821126,Missing,,,,,,,,,1,OK,-67.5647,402.549,-2476.47
4,,370805584,Port:1,0,1773405693,68821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805584,Port:2,0,1773405693,68821125,Enabled,0.932347,0.107797,-0.00550017,0.345078,-87.1101,52.7793,-1590.97,0.152504,3,OK,-86.9302,52.861,-1590.97,OK,-129.962,24.7725,-1594.03,OK,-127.879,99.4533,-1578.51,,370805584,Port:3,0,1773405693,68821125,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805584,Port:65535,0,1773405693,68821125,Missing,,,,,,,,,1,OK,-67.5836,402.639,-2476.93
4,,370805587,Port:1,0,1773405693,118821126,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805587,Port:2,0,1773405693,118821126,Enabled,0.93234,0.108005,-0.00584848,0.345026,-87.1091,52.7737,-1590.98,0.160751,3,OK,-86.9175,52.8569,-1590.97,OK,-129.972,24.7733,-1594.08,OK,-127.88,99.4478,-1578.5,,370805587,Port:3,0,1773405693,118821126,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805587,Port:65535,0,1773405693,118821126,Missing,,,,,,,,,1,OK,-67.5835,402.563,-2476.59
4,,370805590,Port:1,0,1773405693,168821126,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805590,Port:2,0,1773405693,168821126,Enabled,0.932328,0.108083,-0.00538274,0.345042,-87.109,52.7774,-1591,0.154408,3,OK,-86.923,52.8538,-1591,OK,-129.964,24.7737,-1594.05,OK,-127.876,99.4515,-1578.5,,370805590,Port:3,0,1773405693,168821126,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,370805590,Port:65535,0,1773405693,168821126,Missing,,,,,,,,,1,OK,-67.5944,402.586,-2476.92
