ToolCount,ToolInfo,Frame#,,PortHandle,Face#,timespec_s,timespec_ns,,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers,Marker0.Status,Tx,Ty,Tz,Marker1.Status,Tx,Ty,Tz,Marker2.Status,Tx,Ty,Tz,Marker3.Status,Tx,Ty,Tz,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
4,,365853268,3,Port:1,0,1773323154,468828407,50000000,Enabled,0.613591,0.338798,-0.648005,0.298012,-74.1496,178.99,-1729.1,0.157957,4,OK,-74.0055,178.88,-1729.17,OK,-121.634,162.934,-1731.05,OK,-126.353,108.495,-1735.25,OK,-62.4906,120.413,-1733.17,,365853268,Port:2,0,1773323154,468828407,Enabled,0.930108,0.031148,0.0358372,0.364203,-87.4089,271.246,-1592.38,0.143476,3,OK,-87.2358,271.316,-1592.39,OK,-128.933,241.299,-1589.61,OK,-130.122,317.568,-1587.07,,365853268,Port:3,0,1773323154,468828407,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365853268,Port:65535,0,1773323154,468828407,Missing,,,,,,,,,0
4,,365853271,3,Port:1,0,1773323154,518828407,50000000,Enabled,0.614529,0.328243,-0.648735,0.306191,-74.288,181.201,-1734.61,0.15136,4,OK,-74.1592,181.072,-1734.64,OK,-121.812,165.319,-1736.76,OK,-126.751,110.829,-1739.66,OK,-62.8698,122.498,-1737.17,,365853271,Port:2,0,1773323154,518828407,Enabled,0.930162,0.0308744,0.0352291,0.364148,-87.4052,271.242,-1592.35,0.142722,3,OK,-87.2314,271.308,-1592.36,OK,-128.937,241.304,-1589.64,OK,-130.12,317.573,-1587.1,,365853271,Port:3,0,1773323154,518828407,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365853271,Port:65535,0,1773323154,518828407,Missing,,,,,,,,,0
4,,365853274,3,Port:1,0,1773323154,568828407,50000000,Enabled,0.613306,0.31047,-0.656906,0.309739,-72.4588,184.254,-1740.2,0.148126,4,OK,-72.3274,184.13,-1740.2,OK,-120.277,169.432,-1743.24,OK,-126.423,115.014,-1745.12,OK,-62.375,125.26,-1741.29,,365853274,Port:2,0,1773323154,568828407,Enabled,0.930138,0.031098,0.0353726,0.364177,-87.402,271.245,-1592.36,0.137706,3,OK,-87.234,271.309,-1592.37,OK,-128.926,241.308,-1589.64,OK,-130.116,317.566,-1587.07,,365853274,Port:3,0,1773323154,568828407,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365853274,Port:65535,0,1773323154,568828407,Missing,,,,,,,,,0
4,,365853277,3,Port:1,0,1773323154,618828407,50000000,Enabled,0.618233,0.291601,-0.657981,0.315938,-70.1872,187.815,-1746.3,0.145824,4,OK,-70.0552,187.696,-1746.28,OK,-118.277,173.896,-1749.38,OK,-125.555,119.574,-1749.45,OK,-61.3315,128.615,-1745.32,,365853277,Port:2,0,1773323154,618828407,Enabled,0.930174,0.0307596,0.0351053,0.364141,-87.4043,271.244,-1592.32,0.139932,3,OK,-87.2351,271.312,-1592.33,OK,-128.936,241.309,-1589.61,OK,-130.116,317.571,-1587.08,,365853277,Port:3,0,1773323154,618828407,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365853277,Port:65535,0,1773323154,618828407,Missing,,,,,,,,,0
4,,365853280,3,Port:1,0,1773323154,668828407,50000000,Enabled,0.62599,0.274174,-0.655216,0.321959,-68.3567,190.672,-1752.19,0.152202,4,OK,-68.2306,190.546,-1752.14,OK,-116.689,177.551,-1754.85,OK,-125.001,123.416,-1752.95,OK,-60.6146,131.4,-1749.1,,365853280,Port:2,0,1773323154,668828407,Enabled,0.930153,0.031037,0.0354041,0.364142,-87.4049,271.244,-1592.36,0.143618,3,OK,-87.2297,271.312,-1592.38,OK,-128.938,241.309,-1589.63,OK,-130.116,317.568,-1587.08,,365853280,Port:3,0,1773323154,668828407,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365853280,Port:65535,0,1773323154,668828407,Missing,,,,,,,,,0
4,,365853283,3,Port:1,0,1773323154,718828407,50000000,Enabled,0.625519,0.260725,-0.654482,0.335263,-68.5444,191.405,-1756.78,0.146305,4,OK,-68.4191,191.283,-1756.78,OK,-116.838,178.198,-1759.69,OK,-125.205,124.165,-1756.16,OK,-60.8812,132.271,-1751.49,,365853283,Port:2,0,1773323154,718828407,Enabled,0.930183,0.0306559,0.034878,0.364147,-87.4051,271.247,-1592.33,0.140602,3,OK,-87.2353,271.315,-1592.34,OK,-128.938,241.31,-1589.64,OK,-130.12,317.578,-1587.11,,365853283,Port:3,0,1773323154,718828407,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365853283,Port:65535,0,1773323154,718828407,Missing,,,,,,,,,0
4,,365853286,3,Port:1,0,1773323154,768828407,50000000,Enabled,0.621174,0.263885,-0.655891,0.338106,-67.4233,190.692,-1757.09,0.14506,4,OK,-67.2909,190.581,-1757.09,OK,-115.568,177.02,-1760.37,OK,-123.405,122.893,-1757.08,OK,-59.2273,131.61,-1751.95,,365853286,Port:2,0,1773323154,768828407,Enabled,0.930132,0.0306444,0.0358224,0.364188,-87.4091,271.249,-1592.39,0.140949,3,OK,-87.2393,271.315,-1592.4,OK,-128.931,241.302,-1589.61,OK,-130.124,317.583,-1587.13,,365853286,Port:3,0,1773323154,768828407,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365853286,Port:65535,0,1773323154,768828407,Missing,,,,,,,,,0
4,,365853289,3,Port:1,0,1773323154,818828407,50000000,Enabled,0.61891,0.260705,-0.661089,0.334581,-62.757,190.323,-1757.92,0.155468,4,OK,-62.625,190.196,-1757.87,OK,-110.999,177.141,-1761.79,OK,-119.395,123.077,-1758.78,OK,-55.1856,131.15,-1753.05,,365853289,Port:2,0,1773323154,818828407,Enabled,0.930179,0.0308301,0.0350633,0.364126,-87.4045,271.243,-1592.34,0.139573,3,OK,-87.2344,271.307,-1592.36,OK,-128.936,241.309,-1589.64,OK,-130.117,317.576,-1587.1,,365853289,Port:3,0,1773323154,818828407,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365853289,Port:65535,0,1773323154,818828407,Missing,,,,,,,,,0
4,,365853292,3,Port:1,0,1773323154,868828407,50000000,Enabled,0.61406,0.242485,-0.671495,0.336492,-55.5883,190.567,-1762.24,0.139398,4,OK,-55.4746,190.46,-1762.19,OK,-103.974,178.467,-1767.48,OK,-113.776,124.677,-1763.93,OK,-49.6081,131.291,-1756.23,,365853292,Port:2,0,1773323154,868828407,Enabled,0.930168,0.0308674,0.0350192,0.364155,-87.4044,271.239,-1592.32,0.13845,3,OK,-87.2357,271.303,-1592.34,OK,-128.933,241.303,-1589.63,OK,-130.12,317.567,-1587.08,,365853292,Port:3,0,1773323154,868828407,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365853292,Port:65535,0,1773323154,868828407,Missing,,,,,,,,,0
4,,365853295,3,Port:1,0,1773323154,918828403,49999996,Enabled,0.602981,0.216046,-0.688428,0.340302,-49.6305,190.976,-1768.1,0.139839,4,OK,-49.5121,190.87,-1768.05,OK,-98.038,180.28,-1775.77,OK,-109.725,126.897,-1771.72,OK,-45.8905,131.678,-1760.57,,365853295,Port:2,0,1773323154,918828403,Enabled,0.930153,0.0309919,0.0351856,0.364166,-87.4047,271.243,-1592.37,0.142246,3,OK,-87.2317,271.31,-1592.38,OK,-128.935,241.303,-1589.66,OK,-130.12,317.569,-1587.1,,365853295,Port:3,0,1773323154,918828403,Missing,,,,,,,,,4,Missing,,,,Missing,,,,Missing,,,,Missing,,,,,365853295,Port:65535,0,1773323154,918828403,Missing,,,,,,,,,0
