ToolCount,ToolInfo,Frame#,,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
1,,7414,16,Port:10,0,0,0,Enabled,0.630507,0.412928,-0.435967,-0.491818,-50.0654,22.0775,-131.236,0.103922,0
1,,7430,16,Port:10,0,0,0,Enabled,0.637292,0.398144,-0.430762,-0.499785,-47.1244,25.1666,-126.791,0.0987026,0
1,,7446,16,Port:10,0,0,0,Enabled,0.645793,0.381858,-0.423432,-0.507781,-43.3157,28.0612,-122.358,0.0924549,0
1,,7462,16,Port:10,0,0,0,Enabled,0.654514,0.366288,-0.41546,-0.514625,-39.2407,30.6436,-118.136,0.0849624,0
1,,7478,16,Port:10,0,0,0,Enabled,0.663413,0.35008,-0.408662,-0.519926,-35.2053,33.175,-114.344,0.0812471,0
1,,7486,8,Port:10,0,0,0,Enabled,0.668016,0.343378,-0.404166,-0.522012,-33.1503,34.1869,-112.49,0.0788705,0
1,,7502,16,Port:10,0,0,0,Enabled,0.676295,0.329863,-0.394166,-0.527684,-28.8423,36.191,-108.827,0.0773973,0
1,,7518,16,Port:10,0,0,0,Enabled,0.682374,0.317049,-0.384385,-0.534878,-24.5819,38.3559,-105.456,0.0771916,0
1,,7534,16,Port:10,0,0,0,Enabled,0.684706,0.307559,-0.37719,-0.542507,-21.1591,40.3149,-102.885,0.0820819,0
1,,7550,16,Port:10,0,0,0,Enabled,0.687793,0.301334,-0.368543,-0.54801,-18.1579,41.5244,-100.648,0.0861435,0
1,,7566,16,Port:10,0,0,0,Enabled,0.690748,0.294283,-0.360151,-0.553676,-15.2276,42.9222,-98.5365,0.0923921,0
1,,7582,16,Port:10,0,0,0,Enabled,0.692526,0.286918,-0.353233,-0.559744,-12.0548,44.8032,-96.6022,0.112956,0
1,,7606,24,Port:10,0,0,0,Enabled,0.689533,0.278682,-0.336726,-0.577491,-6.34517,48.4626,-93.0792,0.251871,0
1,,7622,16,Port:10,0,0,0,Enabled,0.694778,0.260059,-0.329474,-0.584038,-2.10486,50.5405,-90.7134,0.185247,0
1,,7638,16,Port:10,0,0,0,Enabled,0.700617,0.234247,-0.326438,-0.589663,2.09232,52.1461,-88.8299,0.083311,0
1,,7654,16,Port:10,0,0,0,Enabled,0.699112,0.216763,-0.317431,-0.602904,6.56431,53.2012,-86.7117,0.0673657,0
1,,7670,16,Port:10,0,0,0,Enabled,0.697441,0.206757,-0.311872,-0.611199,9.28301,54.2033,-85.2626,0.0663119,0
1,,7686,16,Port:10,0,0,0,Enabled,0.697031,0.203713,-0.31171,-0.612769,9.81085,54.8791,-84.7658,0.0649385,0
1,,7702,16,Port:10,0,0,0,Enabled,0.695779,0.204741,-0.313977,-0.612692,8.85101,55.3644,-84.8285,0.0650112,0
1,,7718,16,Port:10,0,0,0,Enabled,0.694496,0.210313,-0.318216,-0.610068,6.69094,55.4797,-85.3855,0.065034,0
1,,7726,8,Port:10,0,0,0,Enabled,0.694773,0.215289,-0.321297,-0.606391,5.10282,55.2855,-85.9325,0.0661496,0
1,,7742,16,Port:10,0,0,0,Enabled,0.692859,0.231139,-0.329305,-0.598397,0.623993,54.5287,-87.8847,0.0790511,0
1,,7758,16,Port:10,0,0,0,Enabled,0.685466,0.25655,-0.33672,-0.5924,-4.81174,53.3315,-90.5487,0.206021,0
1,,7790,32,Port:10,0,0,0,Enabled,0.683694,0.285406,-0.365613,-0.563412,-16.0243,47.1508,-97.8796,0.112673,0
1,,7806,16,Port:10,0,0,0,Enabled,0.685344,0.302453,-0.38295,-0.540531,-22.5126,42.7149,-103.049,0.0791974,0
1,,7822,16,Port:10,0,0,0,Enabled,0.683187,0.324748,-0.397503,-0.519409,-28.8263,37.9734,-108.797,0.0770561,0
1,,7838,16,Port:10,0,0,0,Enabled,0.679136,0.347951,-0.407726,-0.501462,-34.2958,32.9933,-114.526,0.0806147,0
