#Tools,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,32422,Port:10,0,0,0,Enabled,0.185772,-0.730464,-0.534934,0.381781,-70.8078,75.3579,-149.955,0.0743685,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,68622,Port:10,0,0,0,Enabled,0.702364,0.327306,0.317697,0.546466,-3.78352,14.6421,-304.3,0.34897,0
,,68630,Port:10,0,0,0,Enabled,0.702474,0.327255,0.317814,0.546287,-3.81473,14.6482,-304.344,0.347648,0
,,68646,Port:10,0,0,0,Enabled,0.702607,0.327156,0.317672,0.546258,-3.74076,14.632,-304.331,0.345073,0
,,68662,Port:10,0,0,0,Enabled,0.70236,0.327332,0.317769,0.546412,-3.81227,14.6433,-304.315,0.347253,0
,,68678,Port:10,0,0,0,Enabled,0.702168,0.327445,0.317517,0.546739,-3.76877,14.6456,-304.311,0.343333,0
,,68694,Port:10,0,0,0,Enabled,0.702299,0.327368,0.317748,0.546481,-3.81968,14.6425,-304.303,0.346875,0
,,68710,Port:10,0,0,0,Enabled,0.702465,0.327305,0.317539,0.546428,-3.72198,14.6569,-304.355,0.343625,0
,,68726,Port:10,0,0,0,Enabled,0.702266,0.327359,0.317694,0.546562,-3.79594,14.6334,-304.349,0.347354,0
,,68742,Port:10,0,0,0,Enabled,0.702352,0.327201,0.317562,0.546623,-3.71302,14.5921,-304.363,0.344245,0
,,68758,Port:10,0,0,0,Enabled,0.702554,0.327078,0.317861,0.546263,-3.76378,14.5857,-304.374,0.345457,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,69910,Port:10,0,0,0,Enabled,0.702342,0.327329,0.317625,0.546522,-3.76985,14.6497,-304.394,0.343765,0
,,69918,Port:10,0,0,0,Enabled,0.702251,0.327371,0.31764,0.546605,-3.76838,14.6495,-304.337,0.348752,0
,,69926,Port:10,0,0,0,Enabled,0.702147,0.327306,0.317795,0.546687,-3.81969,14.5949,-304.386,0.347429,0
,,69942,Port:10,0,0,0,Enabled,0.70203,0.327411,0.31753,0.546929,-3.77291,14.6175,-304.41,0.343508,0
,,69958,Port:10,0,0,0,Enabled,0.702223,0.327196,0.317746,0.546684,-3.77912,14.589,-304.405,0.3389,0
,,69974,Port:10,0,0,0,Enabled,0.702388,0.327174,0.317635,0.54655,-3.74232,14.6217,-304.422,0.339376,0
,,69990,Port:10,0,0,0,Enabled,0.702346,0.327138,0.317783,0.546538,-3.77348,14.5846,-304.387,0.344226,0
,,70006,Port:10,0,0,0,Enabled,0.702328,0.327261,0.317549,0.546624,-3.73905,14.624,-304.418,0.344584,0
,,70022,Port:10,0,0,0,Enabled,0.702492,0.327127,0.317807,0.546344,-3.7738,14.5983,-304.392,0.349045,0
,,70038,Port:10,0,0,0,Enabled,0.702332,0.327348,0.317618,0.546528,-3.77886,14.6398,-304.41,0.347906,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,71950,Port:10,0,0,0,Enabled,0.70233,0.327186,0.317673,0.546595,-3.77109,14.6133,-304.438,0.345285,0
,,71958,Port:10,0,0,0,Enabled,0.702441,0.327248,0.317708,0.546394,-3.79243,14.6451,-304.404,0.347702,0
,,71974,Port:10,0,0,0,Enabled,0.702516,0.327147,0.3177,0.546363,-3.74964,14.6217,-304.419,0.347483,0
,,71990,Port:10,0,0,0,Enabled,0.702489,0.327325,0.317761,0.546256,-3.8202,14.6721,-304.401,0.348176,0
,,72006,Port:10,0,0,0,Enabled,0.702415,0.327249,0.317694,0.546435,-3.77666,14.6314,-304.471,0.345031,0
,,72022,Port:10,0,0,0,Enabled,0.702498,0.327298,0.317814,0.546229,-3.83391,14.6573,-304.415,0.350053,0
,,72038,Port:10,0,0,0,Enabled,0.702403,0.327204,0.317656,0.5465,-3.76304,14.6133,-304.462,0.343872,0
,,72054,Port:10,0,0,0,Enabled,0.702207,0.32744,0.317622,0.54663,-3.82336,14.6646,-304.427,0.345975,0
,,72070,Port:10,0,0,0,Enabled,0.702235,0.327281,0.317585,0.546712,-3.76112,14.6146,-304.445,0.343967,0
,,72086,Port:10,0,0,0,Enabled,0.702289,0.327328,0.317728,0.54653,-3.82283,14.6388,-304.39,0.348675,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,85374,Port:10,0,0,0,Enabled,0.672535,0.499824,-0.0791917,0.540001,-11.9996,-97.6987,-154.732,0.16902,0
,,85390,Port:10,0,0,0,Enabled,0.672559,0.499827,-0.079179,0.539971,-11.9942,-97.6956,-154.733,0.169019,0
,,85398,Port:10,0,0,0,Enabled,0.672549,0.499833,-0.0791762,0.539978,-11.9935,-97.6955,-154.732,0.168667,0
,,85406,Port:10,0,0,0,Enabled,0.672457,0.499785,-0.0793081,0.540117,-11.9793,-97.6907,-154.736,0.170031,0
,,85422,Port:10,0,0,0,Enabled,0.672491,0.4998,-0.079259,0.540068,-11.9901,-97.6927,-154.73,0.169182,0
,,85438,Port:10,0,0,0,Enabled,0.672486,0.499794,-0.0792802,0.540077,-11.9726,-97.6859,-154.734,0.169536,0
,,85454,Port:10,0,0,0,Enabled,0.67247,0.499788,-0.0792976,0.5401,-11.9838,-97.6887,-154.735,0.170124,0
,,85470,Port:10,0,0,0,Enabled,0.672412,0.499774,-0.0793503,0.540177,-11.9738,-97.6893,-154.74,0.170037,0
,,85486,Port:10,0,0,0,Enabled,0.672464,0.499782,-0.0792956,0.540113,-11.9827,-97.6921,-154.734,0.169851,0
,,85502,Port:10,0,0,0,Enabled,0.672439,0.499763,-0.079329,0.540157,-11.9778,-97.6948,-154.738,0.170523,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,87758,Port:10,0,0,0,Enabled,0.67247,0.499771,-0.0792945,0.540115,-11.9974,-97.6985,-154.738,0.170867,0
,,87774,Port:10,0,0,0,Enabled,0.672458,0.49976,-0.0793174,0.540138,-11.9967,-97.6979,-154.738,0.171317,0
,,87782,Port:10,0,0,0,Enabled,0.672458,0.49976,-0.0793223,0.540138,-11.9923,-97.6955,-154.739,0.17129,0
,,87798,Port:10,0,0,0,Enabled,0.672475,0.499765,-0.0792927,0.540117,-11.9978,-97.7052,-154.75,0.171102,0
,,87814,Port:10,0,0,0,Enabled,0.672428,0.499744,-0.0793785,0.540182,-11.9847,-97.6936,-154.742,0.171169,0
,,87830,Port:10,0,0,0,Enabled,0.672405,0.499722,-0.0794138,0.540226,-11.979,-97.6943,-154.739,0.171554,0
,,87846,Port:10,0,0,0,Enabled,0.672467,0.49975,-0.0793358,0.540133,-11.9797,-97.6923,-154.737,0.170296,0
,,87862,Port:10,0,0,0,Enabled,0.672442,0.499747,-0.0793491,0.540165,-11.9837,-97.6982,-154.741,0.170924,0
,,87878,Port:10,0,0,0,Enabled,0.672444,0.49975,-0.0793573,0.540159,-11.9711,-97.6877,-154.733,0.170063,0
,,87894,Port:10,0,0,0,Enabled,0.6725,0.499767,-0.0792759,0.540086,-11.9819,-97.6973,-154.737,0.169611,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,134438,Port:10,0,0,0,Enabled,0.207974,-0.802407,-0.557065,-0.0506806,-42.48,-111.201,-235.779,0.391212,0
,,134446,Port:10,0,0,0,Enabled,0.208042,-0.802586,-0.556794,-0.0505514,-42.4999,-111.207,-235.773,0.392148,0
,,134454,Port:10,0,0,0,Enabled,0.208042,-0.802602,-0.556772,-0.0505433,-42.4974,-111.204,-235.753,0.391417,0
,,134478,Port:10,0,0,0,Enabled,0.208041,-0.802662,-0.556681,-0.0505779,-42.4864,-111.199,-235.772,0.391412,0
,,134486,Port:10,0,0,0,Enabled,0.208046,-0.80274,-0.556571,-0.0505486,-42.4851,-111.197,-235.757,0.391708,0
,,134502,Port:10,0,0,0,Enabled,0.207994,-0.80274,-0.556588,-0.0505684,-42.4697,-111.204,-235.764,0.391456,0
,,134518,Port:10,0,0,0,Enabled,0.208074,-0.802931,-0.556283,-0.0505673,-42.4619,-111.187,-235.763,0.393153,0
,,134534,Port:10,0,0,0,Enabled,0.208031,-0.802819,-0.556465,-0.0505174,-42.4706,-111.197,-235.743,0.394309,0
,,134550,Port:10,0,0,0,Enabled,0.207921,-0.802694,-0.556676,-0.0506216,-42.4437,-111.212,-235.752,0.392577,0
,,134566,Port:10,0,0,0,Enabled,0.207976,-0.802814,-0.556489,-0.0505487,-42.4546,-111.205,-235.749,0.391683,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,136438,Port:10,0,0,0,Enabled,0.20795,-0.802271,-0.557262,-0.0507594,-42.4839,-111.208,-235.765,0.389315,0
,,136446,Port:10,0,0,0,Enabled,0.207963,-0.802407,-0.557079,-0.0505792,-42.5097,-111.219,-235.739,0.388736,0
,,136462,Port:10,0,0,0,Enabled,0.20811,-0.8026,-0.556759,-0.0504301,-42.5337,-111.209,-235.743,0.38966,0
,,136478,Port:10,0,0,0,Enabled,0.207977,-0.802443,-0.557034,-0.0504411,-42.5345,-111.237,-235.715,0.391795,0
,,136494,Port:10,0,0,0,Enabled,0.207999,-0.802412,-0.557056,-0.0505924,-42.5116,-111.208,-235.725,0.391174,0
,,136510,Port:10,0,0,0,Enabled,0.207938,-0.802387,-0.557118,-0.0505577,-42.5132,-111.235,-235.731,0.391161,0
,,136526,Port:10,0,0,0,Enabled,0.207954,-0.80241,-0.557069,-0.050671,-42.4915,-111.198,-235.738,0.390611,0
,,136542,Port:10,0,0,0,Enabled,0.207882,-0.802503,-0.556969,-0.0505971,-42.4867,-111.235,-235.736,0.390562,0
,,136550,Port:10,0,0,0,Enabled,0.207908,-0.802536,-0.556905,-0.0506579,-42.4759,-111.21,-235.756,0.389819,0
,,136574,Port:10,0,0,0,Enabled,0.207883,-0.802498,-0.556978,-0.0505715,-42.4925,-111.232,-235.751,0.388768,0
,,,,,,,,,,,,,,,,
,ToolInfo,Frame#,PortHandle,Face#,timespec_s,timespec_ns,TransformStatus,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,#Markers
,,139742,Port:10,0,0,0,Enabled,0.207811,-0.802776,-0.556619,-0.0504074,-42.4804,-111.265,-235.76,0.389028,0
,,139750,Port:10,0,0,0,Enabled,0.207739,-0.802746,-0.556684,-0.0504646,-42.4573,-111.265,-235.764,0.387398,0
,,139758,Port:10,0,0,0,Enabled,0.207769,-0.802638,-0.55682,-0.0505657,-42.4569,-111.263,-235.776,0.387134,0
,,139774,Port:10,0,0,0,Enabled,0.207886,-0.802715,-0.556652,-0.0507041,-42.44,-111.219,-235.787,0.389809,0
,,139790,Port:10,0,0,0,Enabled,0.207883,-0.802705,-0.55668,-0.0505684,-42.4619,-111.246,-235.78,0.390251,0
,,139806,Port:10,0,0,0,Enabled,0.207841,-0.802481,-0.557006,-0.0507033,-42.4579,-111.243,-235.773,0.391685,0
,,139822,Port:10,0,0,0,Enabled,0.207972,-0.802655,-0.556722,-0.0505257,-42.4887,-111.241,-235.765,0.390732,0
,,139838,Port:10,0,0,0,Enabled,0.207911,-0.802417,-0.557065,-0.0507781,-42.4604,-111.227,-235.79,0.389708,0
,,139854,Port:10,0,0,0,Enabled,0.208007,-0.802356,-0.557115,-0.0508006,-42.4748,-111.193,-235.783,0.392007,0
,,139870,Port:10,0,0,0,Enabled,0.207901,-0.802231,-0.557327,-0.0508895,-42.4563,-111.2,-235.784,0.38852,0
,,,,,,,,,,,,,,,,
